Chip2PinSM,,,,,,,,,,
FootprintName,Lmin,Lmax,Wmin,Wmax,Tmin,Tmax,Amin,Amax,PackageType,DensityLevel
R01005,0.38,0.42,0.18,0.22,0.1,0.1,0.11,0.15,R,L
R0201,0.57,0.63,0.27,0.33,0.15,0.15,0.2,0.26,R,L
R0402,0.9,1.1,0.45,0.55,0.25,0.25,0.3,0.4,R,N
R0603,1.5,1.7,0.7,0.9,0.3,0.3,0.35,0.55,R,N
R0805,1.85,2.15,1.15,1.4,0.4,0.4,0.45,0.65,R,N
R1206,2.95,3.25,1.45,1.7,0.25,0.65,0.45,0.65,R,N
R1210,3,3.2,2.4,2.8,0.3,0.7,0.45,0.65,R,N
R1812,4.3,4.7,3,3.4,0.3,0.7,0.35,0.75,R,N
R2010,4.9,5.1,2.3,2.7,0.3,0.7,0.45,0.65,R,N
R2512,6.25,6.45,3,3.4,0.3,0.7,0.45,0.65,R,N
